f1,precision,recall,abs_spd,di,metodo,base_treino,serie_treino,vies_treino
0.8453747467927076,0.7363468324651319,0.9923007246376812,0.15771750105543558,0.7998799045766539,prejudice_remover_eta10,pd_v0.25,PD,0.25
0.9986234021632252,0.9972505891594659,1.0,0.09091093536986405,1.134723071055573,lr_sem_mitigacao,pd_v0.25,PD,0.25
0.9934461508363495,0.986977648202138,1.0,0.0909569892497909,1.135329946043312,lr_balanceado,pd_v0.25,PD,0.25
0.9883223043985987,0.9769141977683724,1.0,0.09244402810865993,1.138325491490118,lr_reponderado,pd_v0.25,PD,0.25
0.8976489305285487,0.8143040410519564,1.0,0.048093622984379025,1.0738935032648576,prejudice_remover_eta10,pd_v0.25,PD,0.25
0.9975352459824509,0.9964545991727398,0.9986182392420055,0.045650628917881075,1.064747376384239,lr_sem_mitigacao,pd_v0.25,PD,0.25
0.9949847575966172,0.9913776210072507,0.9986182392420055,0.04476272259858993,1.0635331606463285,lr_balanceado,pd_v0.25,PD,0.25
0.993324170430002,0.9880859375,0.9986182392420055,0.044931030384381176,1.0638628239698287,lr_reponderado,pd_v0.25,PD,0.25
0.863593603010348,0.7618832050701675,0.9966442953020134,0.022644615148017744,0.967135685719047,prejudice_remover_eta10,pd_v0.25,PD,0.25
0.9974885844748859,0.9954431533378901,0.9995424388011896,0.22577160493827164,0.7742283950617284,lr_sem_mitigacao,pd_v0.25,PD,0.25
0.9932916429789653,0.9873417721518988,0.9993136582017845,0.22206055261610824,0.7767434300448463,lr_balanceado,pd_v0.25,PD,0.25
0.9895762519827782,0.980246913580247,0.9990848776023793,0.2181437389770724,0.7794936934527789,lr_reponderado,pd_v0.25,PD,0.25
0.8332695252679939,0.7163073885140694,0.9958819492107069,0.2611625514403292,0.725092051115443,prejudice_remover_eta10,pd_v0.25,PD,0.25
0.9908814589665653,0.9847376788553259,0.9971023824855119,0.84275,0.0,lr_sem_mitigacao,pd_v0.25,PD,0.25
0.9789922603064287,0.9609302325581396,0.9977462974887314,0.83875,0.0,lr_balanceado,pd_v0.25,PD,0.25
0.9753105834250668,0.9532739010144482,0.998390212491951,0.83735,0.0,lr_reponderado,pd_v0.25,PD,0.25
0.7324077370357185,0.5799661717722233,0.9935608499678042,0.73395,0.0,prejudice_remover_eta10,pd_v0.25,PD,0.25
0.9971049457177322,0.999274661508704,0.9949446316803081,0.2020300838338288,1.2807531408747732,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9960293586812657,0.995669954293962,0.9963890226287915,0.2034659033719337,1.2833678930299885,lr_balanceado,pd_v0.5,PD,0.5
0.9962735905757903,0.9949579831932773,0.9975926817525277,0.20064068343481423,1.2791885355357588,lr_reponderado,pd_v0.5,PD,0.5
0.8264026402640264,0.7609400324149108,0.9041887337506018,0.024221031790805925,1.0325386938068795,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9964566929133858,0.9970454993106165,0.995868581546331,0.3513657631920732,0.5833542675277735,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9969557104978887,0.9952941176470588,0.9986228605154437,0.35077580746418136,0.5834051417385504,lr_balanceado,pd_v0.5,PD,0.5
0.9918905715681485,0.985248447204969,0.9986228605154437,0.3469320046690136,0.5861698948428724,lr_reponderado,pd_v0.5,PD,0.5
0.8648026897894178,0.7858176555716353,0.9614400944324218,0.3676550290080206,0.5350405895710996,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9965254953516762,0.9983066792097837,0.994750656167979,0.7072430895705061,0.2641031925476836,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9972818445964945,0.9971883786316776,0.9973753280839895,0.7082956413751733,0.2624996487030115,lr_balanceado,pd_v0.5,PD,0.5
0.9950314052685854,0.9951246952934558,0.9949381327334084,0.7050001397741057,0.2651989337191407,lr_reponderado,pd_v0.5,PD,0.5
0.8267861850777748,0.7781637717121588,0.8818897637795275,0.5279670772077734,0.39108992267022,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9951428016320186,0.9939840869396468,0.9963042209686831,0.8708607467046686,0.12734824828473387,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.995253317833963,0.9913160941721343,0.9992219412565648,0.8724253132569195,0.12491164362033985,lr_balanceado,pd_v0.5,PD,0.5
0.9942890330074533,0.9895953757225433,0.9990274265707061,0.8711357545112252,0.12552229246635327,lr_reponderado,pd_v0.5,PD,0.5
0.8204562178072112,0.7782236956901064,0.8675354989301692,0.6729797897594857,0.26124887901635074,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9902214229515567,0.9830395001115823,0.9975090579710145,0.05624788682422188,0.9302568948415096,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9858179787828029,0.9724608944701476,0.9995471014492754,0.056751094559439386,0.9294030291368826,lr_balanceado,pd_v0.5,PD,0.5
0.987010078387458,0.9762959680992468,0.9979619565217391,0.05545720809415078,0.9310595224005095,lr_reponderado,pd_v0.5,PD,0.5
0.7055065153425809,0.5610375718678968,0.9501811594202898,0.3084534960177565,0.611317115830335,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9963449570285489,0.999603567888999,0.9931075226467113,0.09134317322414731,1.1349607466817098,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9938107869142352,0.9915702803371887,0.9960614415124065,0.08917869850697813,1.1319809290921425,lr_balanceado,pd_v0.5,PD,0.5
0.993138600274456,0.9886807181889149,0.9976368649074439,0.09057985466110219,1.1345000965855117,lr_reponderado,pd_v0.5,PD,0.5
0.7686849574266793,0.6409413620825664,0.9600236313509256,0.08189993754194702,0.8801411985137834,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9963377214688707,0.9992058765137979,0.9934859849980261,0.04397839885974608,1.0620670406522352,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9939919235693884,0.9919402398270101,0.9960521121200158,0.0467640582130765,1.0664682023142447,lr_balanceado,pd_v0.5,PD,0.5
0.9940875049270792,0.9925226288862653,0.9956573233320174,0.046485492277743456,1.0660252689037366,lr_reponderado,pd_v0.5,PD,0.5
0.6866897147796024,0.540598775232479,0.940979076194236,0.20053259359127007,0.7288668995248705,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9958677685950413,0.9993089149965446,0.9924502402196294,0.22146531452087004,0.7781385042366955,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9906690942193901,0.9855105275073579,0.9958819492107069,0.2161890064667843,0.781469596351265,lr_balanceado,pd_v0.5,PD,0.5
0.9908821518121723,0.9872813990461049,0.9945092656142759,0.21546884185773074,0.782197560577023,lr_reponderado,pd_v0.5,PD,0.5
0.6502856248532749,0.4941722169362512,0.9505833905284832,0.3112580834803057,0.6471568284433782,prejudice_remover_eta10,pd_v0.5,PD,0.5
0.9924058814024883,0.9961076873175478,0.9887314874436575,0.84585,0.0,lr_sem_mitigacao,pd_v0.5,PD,0.5
0.9793519695044473,0.9664576802507837,0.9925949774629749,0.8405,0.0,lr_balanceado,pd_v0.5,PD,0.5
0.972972972972973,0.9556038497361068,0.9909851899549259,0.83895,0.0,lr_reponderado,pd_v0.5,PD,0.5
0.5821911054136673,0.41961620469083155,0.9504185447520928,0.64825,0.0,prejudice_remover_eta10,pd_v0.5,PD,0.5
