base_treino,serie_treino,vies_treino,base_teste,serie_teste,vies_teste,eta,usou_modelo_padrao,f1,recall,precision,spd,abs_spd,di,n_priv_teste,n_depriv_teste
pd_v0,PD,0.0,pd_v1,PD,1.0,10.0,False,0.8784139186728708,0.8445827659988329,0.915068493150685,-0.7145482867170385,0.7145482867170385,0.2652232522151405,14130,5870
pd_v0,PD,0.0,pd_v1,PD,1.0,15.0,False,0.8825878594249201,0.859754911495818,0.9066666666666666,-0.7253617238805881,0.7253617238805881,0.25154365719054267,14130,5870
pd_v0,PD,0.0,pd_v1,PD,1.0,25.0,False,0.8926497095934308,0.8669519548725929,0.9199174406604748,-0.735683257558495,0.735683257558495,0.2444247398385279,14130,5870
pd_v0,PD,0.0,pd_v1,PD,1.0,35.0,False,0.6250813625515296,0.5603968099591519,0.7066470443953887,-0.4162855017475836,0.4162855017475836,0.5466928067437302,14130,5870
pd_v0,PD,0.0,pd_v1,PD,1.0,50.0,False,0.14943136736313145,0.10990079751021202,0.23337463857909954,-0.011438323380727256,0.011438323380727256,0.987035894010614,14130,5870
pd_v0,PD,0.0,gs_v0,GS,0.0,0.0,True,0.9835152595232791,0.9997735507246377,0.9677772906619904,-0.056047363387829896,0.056047363387829896,0.930145306332751,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,1.0,False,0.9694570135746606,0.9703351449275363,0.9685804701627486,-0.04011967893158197,0.04011967893158197,0.9498874222285899,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,5.0,False,0.8831860291768715,0.9390851449275363,0.8335678391959799,-0.08399129109880354,0.08399129109880354,0.8945984855418531,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,10.0,False,0.8829396325459318,0.9522192028985508,0.8230573497749071,-0.0995507531487182,0.0995507531487182,0.8753466861011596,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,15.0,False,0.8587478296394648,0.9519927536231884,0.7821395348837209,-0.1204105303024281,0.1204105303024281,0.848854098726022,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,25.0,False,0.8697440115143416,0.9578804347826086,0.7964601769911505,-0.11935498895771046,0.11935498895771046,0.8506714317257839,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,35.0,False,0.762444279346211,0.9295742753623188,0.6462531486146096,-0.17468322651931567,0.17468322651931567,0.7752632158959466,9137,10863
pd_v0,PD,0.0,gs_v0,GS,0.0,50.0,False,0.7280872613946241,0.8464673913043478,0.638755980861244,-0.05994368196070188,0.05994368196070188,0.9189904715167974,9137,10863
pd_v0,PD,0.0,gs_v0.25,GS,0.25,0.0,True,0.9871695178849145,1.0,0.9746641074856046,0.09426520256444604,0.09426520256444604,1.1414769650849663,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,1.0,False,0.9746713070378964,0.9927136667979519,0.9572730725408279,0.10420500167038982,0.10420500167038982,1.1589037363355978,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,5.0,False,0.933870363431997,0.98168570303269,0.8904966059306896,0.08830551924913843,0.08830551924913843,1.1355372930282208,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,10.0,False,0.9065939063210551,0.9814887751083103,0.8423187426060503,0.06834366961465299,0.06834366961465299,1.1049706139010895,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,15.0,False,0.8898418654516216,0.9807010634107917,0.8143908421913328,0.0558839912563337,0.0558839912563337,1.0858630237047109,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,25.0,False,0.9031328772056175,0.98779046868846,0.8318407960199005,0.06078017001778291,0.06078017001778291,1.0933215806321148,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,35.0,False,0.798440165732391,0.967703820401733,0.6795740561471443,-0.008186350944167975,0.008186350944167975,0.9873041943705163,4468,15532
pd_v0,PD,0.0,gs_v0.25,GS,0.25,50.0,False,0.8058911136852557,0.9590389917290272,0.694920091324201,0.03960195614287276,0.03960195614287276,1.0639933237057344,4468,15532
pd_v0,PD,0.0,gs_v0.5,GS,0.5,0.0,True,0.9920580449063634,0.9986182392420055,0.9855834794467173,0.044765225937000275,0.044765225937000275,1.063672475923212,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,1.0,False,0.9781151419558359,0.979273588630083,0.9769594328475778,0.05115805686533459,0.05115805686533459,1.0730777107010538,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,5.0,False,0.8903202061096798,0.95499407816818,0.8338503964150293,0.011498834654247614,0.011498834654247614,1.0164374894806962,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,10.0,False,0.87641058048208,0.9581523884721674,0.8075195474962569,-0.0012229364432139178,0.0012229364432139178,0.9982543216032179,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,15.0,False,0.8546511627906976,0.9575602052901697,0.7717149220489977,-0.017054465773536753,0.017054465773536753,0.9756730227501765,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,25.0,False,0.8716629711751663,0.96999605211212,0.7914317925591883,-0.014446293113502429,0.014446293113502429,0.979437457343076,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,35.0,False,0.7434471803018269,0.9238057639163048,0.6220095693779905,-0.08637707992305621,0.08637707992305621,0.8768772101310898,1997,18003
pd_v0,PD,0.0,gs_v0.5,GS,0.5,50.0,False,0.7450613079019074,0.8636004737465456,0.6551362683438156,0.018470020199993886,0.018470020199993886,1.028438419691124,1997,18003
pd_v0,PD,0.0,gs_v0.75,GS,0.75,0.0,True,0.9889039855072463,0.9990848776023793,0.9789284913696481,-0.21477807172251617,0.21477807172251617,0.7821092026003459,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,1.0,False,0.9659194876486734,0.9661404712880348,0.9656986050766064,-0.1992283950617284,0.1992283950617284,0.7956631845520734,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,5.0,False,0.8578313253012049,0.9366277739647678,0.79126401236954,-0.22573486184597302,0.22573486184597302,0.7650343445469426,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,10.0,False,0.8313741386299148,0.9384580187600091,0.7462252137529561,-0.24051293356848913,0.24051293356848913,0.7491857676008307,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,15.0,False,0.8081881704556638,0.9393731411576298,0.7091537132987911,-0.2555849500293945,0.2555849500293945,0.7334682085354545,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,25.0,False,0.8290945076694706,0.9583619309082589,0.730554586675968,-0.2563786008230453,0.2563786008230453,0.7336326225215114,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,35.0,False,0.6865800120513041,0.9123770304278197,0.5503726193762075,-0.29373897707231045,0.29373897707231045,0.6818301215464335,560,19440
pd_v0,PD,0.0,gs_v0.75,GS,0.75,50.0,False,0.6995630007283321,0.8789750629146649,0.5809768637532133,-0.22627131099353315,0.22627131099353315,0.7455583651478342,560,19440
pd_v0,PD,0.0,gs_v1,GS,1.0,0.0,True,0.9734901960784313,0.9990341274951706,0.9492199449372897,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,1.0,False,0.9040396455924313,0.9690920798454604,0.8471714044469463,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,5.0,False,0.7512411810817873,0.9256278171281391,0.632145998240985,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,10.0,False,0.7171804003438537,0.9401159047005795,0.5797101449275363,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,15.0,False,0.6906694905282974,0.9449452672247264,0.5442239940663823,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,25.0,False,0.7011061426217934,0.9591113972955569,0.5524851632047477,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,35.0,False,0.5629063886882031,0.8779781068898905,0.41424882272520125,,,,0,20000
pd_v0,PD,0.0,gs_v1,GS,1.0,50.0,False,0.5504626183133042,0.8332260141661301,0.4109893600127045,,,,0,20000
pd_v0.25,PD,0.25,pd_v0,PD,0.0,0.0,True,0.9979579579579579,1.0,0.9959242387916567,0.19981718631705414,0.19981718631705414,1.2780426515087038,12714,7286
pd_v0.25,PD,0.25,pd_v0,PD,0.0,1.0,False,0.9769466007998118,0.9997592681752527,0.9551517939282429,0.17617173026067134,0.17617173026067134,1.2452208647398921,12714,7286
