f1,precision,recall,abs_spd,di,base_treino,serie_treino,vies_treino,feature_set,n_features
0.4770091732533318,0.320043353719904,0.936141304347826,0.014078562771165148,1.0406303942009274,pd_v1,PD,1.0,transacional_2,2
0.5793152894784012,0.4158161077279355,0.9547065773926743,0.02950543551061935,1.0748610368321676,pd_v1,PD,1.0,transacional_2,2
0.5522693663974519,0.3879034835410674,0.9583497828661666,0.04991245130207117,0.8809137810630393,pd_v1,PD,1.0,transacional_2,2
0.5065084458436762,0.3443932158735386,0.956989247311828,0.2628747795414462,0.5944631500187055,pd_v1,PD,1.0,transacional_2,2
0.4066731816278096,0.2596256684491979,0.937862202189311,0.439,0.0,pd_v1,PD,1.0,transacional_2,2
0.972036972036972,0.9455952651946278,1.0,0.1885631575136113,1.2649637471958504,pd_v1,PD,1.0,temporal_tipo_4,4
0.9651096282173498,0.9361938228222675,0.995868581546331,0.33430636729709196,0.5933519269927177,pd_v1,PD,1.0,temporal_tipo_4,4
0.9548417684010905,0.9183766529867761,0.9943223895334485,0.6751345120140182,0.3006074289530406,pd_v1,PD,1.0,temporal_tipo_4,4
0.9616428442192871,0.9291958041958042,0.9964379452568429,0.6980892627276257,0.2556709524864602,pd_v1,PD,1.0,temporal_tipo_4,4
0.9578352532058249,0.920810697868784,0.9979619565217391,0.03797968088956449,0.951390902887246,pd_v1,PD,1.0,temporal_tipo_4,4
0.9679756004574914,0.9379386775027706,1.0,0.0889123468434706,1.1346645307446193,pd_v1,PD,1.0,temporal_tipo_4,4
0.9762019462375952,0.953510257858084,1.0,0.05590619445804823,1.0817310910195626,pd_v1,PD,1.0,temporal_tipo_4,4
0.967984934086629,0.9383591065292096,0.9995424388011896,0.22480893592004714,0.7719329635593725,pd_v1,PD,1.0,temporal_tipo_4,4
0.9344978165938864,0.8777934936350777,0.9990341274951706,0.82325,0.0,pd_v1,PD,1.0,temporal_tipo_4,4
0.9871673003802282,0.974659784138902,1.0,0.19596359893155668,1.2738794324300111,pd_v1,PD,1.0,comportamental_6,6
0.9889874281259137,0.9799150251062186,0.9982293920912847,0.3468844463376142,0.5855774870729964,pd_v1,PD,1.0,comportamental_6,6
0.975374215354901,0.9544058587290338,0.9972846210812145,0.6836503880412088,0.29903162654340915,pd_v1,PD,1.0,comportamental_6,6
0.9783406754772394,0.9582883854728514,0.9992500937382827,0.7108664521076764,0.2516209516981873,pd_v1,PD,1.0,comportamental_6,6
0.9802222222222222,0.962260034904014,0.9988677536231884,0.05162456374717417,0.9353755803592368,pd_v1,PD,1.0,comportamental_6,6
0.981730304494925,0.9641161951775205,1.0,0.09693569356682052,1.1465680808313212,pd_v1,PD,1.0,comportamental_6,6
0.9874281259136536,0.9751684311838306,1.0,0.04521543744267176,1.0646350956141843,pd_v1,PD,1.0,comportamental_6,6
0.9851217312894499,0.970895356587425,0.9997712194005949,0.22234714873603767,0.7756497237978719,pd_v1,PD,1.0,comportamental_6,6
0.9580505860579889,0.9194789816459443,1.0,0.8311,0.0,pd_v1,PD,1.0,comportamental_6,6
