f1,precision,recall,abs_spd,di,base_treino,serie_treino,vies_treino,volume
0.9941961694718514,0.9888397152203194,0.9996109706282824,0.8713637421316541,0.12504479275722907,pd_v0.75,PD,0.75,2500
0.9857110962268364,0.9720387494495817,0.9997735507246377,0.05601975778989421,0.9302653233070486,pd_v0.75,PD,0.75,2500
0.9934448684081792,0.9871670231382461,0.9998030720756204,0.08964477068856713,1.133155862844587,pd_v0.75,PD,0.75,2500
0.9950806768988587,0.9919576304433111,0.9982234504540071,0.047265643785903255,1.0672768999575544,pd_v0.75,PD,0.75,2500
0.9928319490271931,0.9875509280217293,0.9981697552047586,0.2162404467960024,0.7814175989065679,pd_v0.75,PD,0.75,2500
0.9775387535590003,0.960820895522388,0.9948486799742434,0.8392,0.0,pd_v0.75,PD,0.75,2500
0.9986767713220257,0.9980764606876653,0.9992778045257583,0.20103237460754775,1.2796723504497607,pd_v0.75,PD,0.75,5000
0.9969598901637736,0.9939382088384826,1.0,0.35055795881740903,0.5832876186223225,pd_v0.75,PD,0.75,5000
0.9991367616228881,0.9982750123213405,1.0,0.6805935756493086,0.30778293219289543,pd_v0.75,PD,0.75,5000
0.9961232797053693,0.9926598416071084,0.9996109706282824,0.8727791702986746,0.124867323565124,pd_v0.75,PD,0.75,5000
0.9883590776807701,0.9772023019034971,0.9997735507246377,0.056832934074779407,0.9293973462078505,pd_v0.75,PD,0.75,5000
0.9967593047235589,0.9941234084231146,0.999409216226861,0.0903621506504837,1.1339542432336964,pd_v0.75,PD,0.75,5000
0.9964525029562475,0.9948839039748131,0.9980260560600079,0.04759808712680191,1.0677018376012988,pd_v0.75,PD,0.75,5000
0.9947596263385737,0.9906966190152031,0.9988560970029742,0.21567460317460319,0.7819895707982351,pd_v0.75,PD,0.75,5000
0.9826681507393862,0.9707822808671065,0.9948486799742434,0.84085,0.0,pd_v0.75,PD,0.75,5000
0.9984369363953348,0.9973576747537833,0.9995185363505056,0.2017787943641206,1.2808951704309022,pd_v0.75,PD,0.75,7500
0.9968608985677849,0.9941303071805909,0.999606531575841,0.3505153862385657,0.5834066762374069,pd_v0.75,PD,0.75,7500
0.9996298581122763,0.9992599901332018,1.0,0.680868849202402,0.3076967848463996,pd_v0.75,PD,0.75,7500
0.9967028704422033,0.993811641848772,0.9996109706282824,0.8732037987487807,0.12481418099586662,pd_v0.75,PD,0.75,7500
0.9881378692927484,0.9767699115044248,0.9997735507246377,0.056412543133368964,0.9298909947484233,pd_v0.75,PD,0.75,7500
0.9949039592316739,0.9902458056964495,0.9996061441512406,0.09045108824338399,1.1343088940749217,pd_v0.75,PD,0.75,7500
0.9956709956709957,0.9925460965084347,0.9988156336360048,0.047821941210432484,1.06811727289389,pd_v0.75,PD,0.75,7500
0.9944223107569721,0.9895786135024921,0.9993136582017845,0.22154614932392713,0.777260603911312,pd_v0.75,PD,0.75,7500
0.9828571428571429,0.9693174702567313,0.9967804249839022,0.8403,0.0,pd_v0.75,PD,0.75,7500
0.9987966305655837,0.9985563041385948,0.999037072701011,0.20187592911145436,1.2809073615763413,pd_v0.75,PD,0.75,10000
0.9973495631687445,0.9952978056426333,0.9994097973637616,0.35099917917518886,0.5830714125699198,pd_v0.75,PD,0.75,10000
0.9998765889176848,0.9997532082922014,1.0,0.6810064859789486,0.30765372925487283,pd_v0.75,PD,0.75,10000
0.9966062251527199,0.9936194895591647,0.9996109706282824,0.8731330273404297,0.12482303494926066,pd_v0.75,PD,0.75,10000
0.9892424921559838,0.979148181011535,0.9995471014492754,0.05712138234810016,0.9290968522599387,pd_v0.75,PD,0.75,10000
0.9973464373464374,0.9954875416911909,0.9992122883024813,0.0905890193255684,1.1342460160353698,pd_v0.75,PD,0.75,10000
0.996945511873091,0.9952783789100925,0.9986182392420055,0.0475425408289627,1.0676228305095716,pd_v0.75,PD,0.75,10000
0.9956680346557227,0.992274483072029,0.9990848776023793,0.22455173427395647,0.7750465631602583,pd_v0.75,PD,0.75,10000
0.9856733524355301,0.9748110831234257,0.9967804249839022,0.8412,0.0,pd_v0.75,PD,0.75,10000
0.980466437788564,0.964593524341952,0.996870486278286,0.19948137083360695,1.2799035590749894,pd_v1,PD,1.0,1000
0.9827552799844991,0.9681236877266653,0.9978359236671257,0.3421687116436778,0.5890737808123859,pd_v1,PD,1.0,1000
0.9793203531261337,0.9599336178283546,0.999506294742039,0.6705893022148888,0.310428621436236,pd_v1,PD,1.0,1000
0.9774187626216266,0.9575539568345324,0.9981252343457068,0.6958657298267062,0.26376202745692456,pd_v1,PD,1.0,1000
0.9651251776538756,0.932995138448531,0.9995471014492754,0.05608920501127035,0.9293511075009682,pd_v1,PD,1.0,1000
0.9644389360282201,0.9347625207909813,0.9960614415124065,0.09948058831843043,1.152532350242535,pd_v1,PD,1.0,1000
0.9805213683496463,0.9630687226346849,0.9986182392420055,0.050894510960463935,1.0735961899985855,pd_v1,PD,1.0,1000
0.9723892228902249,0.9470830622424636,0.9990848776023793,0.21698265726043497,0.7786697849438186,pd_v1,PD,1.0,1000
0.9430919050517347,0.8941142527409117,0.9977462974887314,0.8267,0.0,pd_v1,PD,1.0,1000
0.9809795530194959,0.9689995302959136,0.9932595089070775,0.20385329807551433,1.2859749345395664,pd_v1,PD,1.0,2500
0.9818004866180049,0.9714946070878274,0.9923273657289002,0.3451671232378942,0.5870495199165626,pd_v1,PD,1.0,2500
0.9850419554906968,0.9707574304889741,0.9997531473710195,0.6760199526264231,0.3075394098678588,pd_v1,PD,1.0,2500
0.9828909645796726,0.9698850155137799,0.9962504686914135,0.7015982354219165,0.2622928855009552,pd_v1,PD,1.0,2500
0.965230701946206,0.9331923890063425,0.9995471014492754,0.055191146550250814,0.930443930202808,pd_v1,PD,1.0,2500
0.9640356766088041,0.9396148812862217,0.9897597479322567,0.0951146343898327,1.1444010147651282,pd_v1,PD,1.0,2500
